temperature,seed,student_accuracy
1,0,96.47
11,0,97.81
21,0,97.82
31,0,97.64
41,0,97.3
51,0,96.91
61,0,96.48
71,0,95.24
81,0,95.29
91,0,93.64
1,1,97.92
11,1,97.39
21,1,97.6
31,1,96.8
41,1,93.49
51,1,94.12
61,1,89.46
71,1,95.29
81,1,88.37
91,1,75.19
1,2,97.94
11,2,97.29
21,2,97.73
31,2,97.54
41,2,97.76
51,2,97.33
61,2,96.89
71,2,97.39
81,2,97.42
91,2,97.56
1,3,97.83
11,3,97.9
21,3,97.97
31,3,97.56
41,3,97.59
51,3,97.74
61,3,97.91
71,3,97.83
81,3,97.75
91,3,97.55
1,4,97.7
11,4,97.83
21,4,97.44
31,4,97.45
41,4,96.96
51,4,96.29
61,4,95.13
71,4,94.23
81,4,95.68
91,4,95.57